127.0.0.1 - - [28/Oct/2023:15:14:48 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [28/Oct/2023:15:14:50 -0300] "GET /arsan/ HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [28/Oct/2023:15:14:51 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [28/Oct/2023:15:16:35 -0300] "GET /arsan/ HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [28/Oct/2023:15:16:37 -0300] "GET /arsan/ HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [28/Oct/2023:15:18:01 -0300] "GET /arsan/Index.jsp HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [28/Oct/2023:15:18:02 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [28/Oct/2023:15:19:59 -0300] "GET /arsan/Index.jsp HTTP/1.1" 200 876
0:0:0:0:0:0:0:1 - - [28/Oct/2023:15:19:59 -0300] "GET /img/logo%201.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Oct/2023:15:22:03 -0300] "GET /arsan/Index.jsp HTTP/1.1" 200 938
0:0:0:0:0:0:0:1 - - [28/Oct/2023:15:22:03 -0300] "GET /img/logo%201.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Oct/2023:15:22:03 -0300] "GET /arsan/Estilos/style.css HTTP/1.1" 200 6184
0:0:0:0:0:0:0:1 - - [28/Oct/2023:15:23:46 -0300] "GET /arsan/Index.jsp HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [28/Oct/2023:15:23:47 -0300] "GET /arsan/img/logo%201.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [28/Oct/2023:15:24:01 -0300] "GET /arsan/Index.jsp HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [28/Oct/2023:15:24:01 -0300] "GET /arsan/img/logo%201.png HTTP/1.1" 200 16375
0:0:0:0:0:0:0:1 - - [28/Oct/2023:15:39:48 -0300] "GET /arsan/Index.jsp HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [28/Oct/2023:15:40:21 -0300] "GET /arsan/entrada.jsp HTTP/1.1" 200 2328
0:0:0:0:0:0:0:1 - - [28/Oct/2023:15:40:22 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [28/Oct/2023:15:44:28 -0300] "GET /cadastroProduto.html HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Oct/2023:15:44:32 -0300] "GET /cadastroProduto.html HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Oct/2023:15:45:04 -0300] "GET /cadastroProduto.html HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Oct/2023:15:45:11 -0300] "GET /arsan/entrada.jsp HTTP/1.1" 200 2327
0:0:0:0:0:0:0:1 - - [28/Oct/2023:15:45:14 -0300] "GET /cadastroProduto.jsp HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [28/Oct/2023:15:45:41 -0300] "GET /arsan/entrada.jsp HTTP/1.1" 200 2328
0:0:0:0:0:0:0:1 - - [28/Oct/2023:15:45:45 -0300] "GET /arsan/cadastroProduto.jsp HTTP/1.1" 200 1132
0:0:0:0:0:0:0:1 - - [28/Oct/2023:15:51:00 -0300] "GET /arsan/cadastroProduto.jsp HTTP/1.1" 200 1132
0:0:0:0:0:0:0:1 - - [28/Oct/2023:15:53:43 -0300] "GET /arsan/entrada.jsp HTTP/1.1" 200 2328
0:0:0:0:0:0:0:1 - - [28/Oct/2023:15:53:46 -0300] "GET /arsan/cadastroFornecedor.jsp HTTP/1.1" 200 1254
0:0:0:0:0:0:0:1 - - [28/Oct/2023:15:55:45 -0300] "GET /arsan/entrada.jsp HTTP/1.1" 200 2328
0:0:0:0:0:0:0:1 - - [28/Oct/2023:15:55:48 -0300] "GET /arsan/cadastroCliente.jsp HTTP/1.1" 200 1114
0:0:0:0:0:0:0:1 - - [28/Oct/2023:15:55:51 -0300] "GET /arsan/cadastroProduto.jsp HTTP/1.1" 200 1132
0:0:0:0:0:0:0:1 - - [28/Oct/2023:15:55:58 -0300] "GET /arsan/cadastroFornecedor.jsp HTTP/1.1" 200 1254
0:0:0:0:0:0:0:1 - - [28/Oct/2023:15:58:09 -0300] "GET /arsan/entrada.jsp HTTP/1.1" 200 2328
0:0:0:0:0:0:0:1 - - [28/Oct/2023:15:58:11 -0300] "GET /areaVendas.html HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [28/Oct/2023:15:58:40 -0300] "GET /arsan/entrada.jsp HTTP/1.1" 200 2328
0:0:0:0:0:0:0:1 - - [28/Oct/2023:15:58:42 -0300] "GET /arsan/areaVendas.jsp HTTP/1.1" 200 4728
